first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
2020-04-26,2020-05-02,45-49,נקבה,1827,17.0,0.0
2020-04-26,2020-05-02,50-54,זכר,1520,<15,0.0
2020-04-26,2020-05-02,50-54,לא ידוע,<15,0.0,0.0
2020-04-26,2020-05-02,50-54,נקבה,1699,15.0,0.0
2020-04-26,2020-05-02,55-59,זכר,1321,<15,0.0
2020-04-26,2020-05-02,55-59,לא ידוע,<15,0.0,0.0
2020-04-26,2020-05-02,55-59,נקבה,1603,18.0,0.0
2020-04-26,2020-05-02,60-64,זכר,1236,<15,<15
2020-04-26,2020-05-02,60-64,נקבה,1511,<15,<15
2020-04-26,2020-05-02,65-69,זכר,1158,<15,0.0
2020-04-26,2020-05-02,65-69,לא ידוע,<15,0.0,0.0
2020-04-26,2020-05-02,65-69,נקבה,1241,<15,<15
2020-04-26,2020-05-02,70-74,זכר,1037,<15,<15
2020-04-26,2020-05-02,70-74,לא ידוע,<15,<15,0.0
2020-04-26,2020-05-02,70-74,נקבה,1103,<15,<15
2020-04-26,2020-05-02,75-79,זכר,702,<15,<15
2020-04-26,2020-05-02,75-79,לא ידוע,<15,0.0,0.0
2020-04-26,2020-05-02,75-79,נקבה,801,<15,0.0
2020-04-26,2020-05-02,80+,זכר,2041,<15,15.0
2020-04-26,2020-05-02,80+,לא ידוע,<15,0.0,0.0
2020-04-26,2020-05-02,80+,נקבה,4446,18.0,<15
2020-04-26,2020-05-02,NULL,זכר,995,21.0,0.0
2020-04-26,2020-05-02,NULL,לא ידוע,754,<15,0.0
2020-04-26,2020-05-02,NULL,נקבה,954,<15,0.0
2020-05-03,2020-05-09,0-19,זכר,2619,50.0,0.0
2020-05-03,2020-05-09,0-19,לא ידוע,32,0.0,0.0
2020-05-03,2020-05-09,0-19,נקבה,2100,40.0,0.0
2020-05-03,2020-05-09,20-24,זכר,1790,23.0,0.0
2020-05-03,2020-05-09,20-24,לא ידוע,<15,0.0,0.0
2020-05-03,2020-05-09,20-24,נקבה,1719,19.0,0.0
2020-05-03,2020-05-09,25-29,זכר,1837,<15,0.0
2020-05-03,2020-05-09,25-29,לא ידוע,<15,0.0,0.0
2020-05-03,2020-05-09,25-29,נקבה,2102,<15,0.0
2020-05-03,2020-05-09,30-34,זכר,1822,<15,0.0
2020-05-03,2020-05-09,30-34,לא ידוע,<15,0.0,0.0
2020-05-03,2020-05-09,30-34,נקבה,2110,<15,0.0
2020-05-03,2020-05-09,35-39,זכר,1777,<15,0.0
2020-05-03,2020-05-09,35-39,נקבה,1977,<15,0.0
2020-05-03,2020-05-09,40-44,זכר,1687,<15,<15
2020-05-03,2020-05-09,40-44,לא ידוע,<15,0.0,0.0
2020-05-03,2020-05-09,40-44,נקבה,2388,<15,0.0
2020-05-03,2020-05-09,45-49,זכר,1625,<15,0.0
2020-05-03,2020-05-09,45-49,לא ידוע,<15,0.0,0.0
