VaccinationDate,age_group,first_dose,second_dose
2021-02-19,40-49,6488,9587
2021-02-19,90+,29,55
2021-02-20,0-19,3506,4310
2021-02-20,50-59,3031,3060
2021-02-20,20-29,10220,3999
2021-02-20,30-39,7723,7884
2021-02-20,40-49,5268,7898
2021-02-20,70-79,448,405
2021-02-20,60-69,1182,900
2021-02-20,90+,29,22
2021-02-20,80-89,165,146
2021-02-21,80-89,788,844
2021-02-21,20-29,23711,14656
2021-02-21,70-79,1888,1778
2021-02-21,0-19,7756,9241
2021-02-21,90+,178,221
2021-02-21,30-39,20910,22132
2021-02-21,50-59,7464,7905
2021-02-21,60-69,3929,3341
2021-02-21,40-49,12652,18151
2021-02-22,20-29,25226,18927
2021-02-22,80-89,911,895
2021-02-22,0-19,7886,8452
2021-02-22,50-59,7829,7895
2021-02-22,30-39,23083,22897
2021-02-22,40-49,13231,15827
2021-02-22,60-69,4300,3303
2021-02-22,90+,212,252
2021-02-22,70-79,2168,1804
2021-02-23,20-29,23938,16607
2021-02-23,0-19,7539,8142
2021-02-23,30-39,20007,19262
2021-02-23,60-69,3780,2964
2021-02-23,80-89,862,896
2021-02-23,90+,164,239
2021-02-23,50-59,7137,6730
2021-02-23,70-79,1897,1721
2021-02-23,40-49,11839,13564
2021-02-24,20-29,18800,16454
2021-02-24,70-79,1627,1613
2021-02-24,30-39,15363,16968
2021-02-24,90+,163,203
2021-02-24,80-89,723,838
2021-02-24,0-19,6140,6615
2021-02-24,60-69,2981,2743
2021-02-24,50-59,5621,5970
2021-02-24,40-49,9417,11335
2021-02-25,40-49,8423,10609
2021-02-25,30-39,13010,20801
2021-02-25,70-79,1247,1259
2021-02-25,90+,146,172
2021-02-25,60-69,2725,2347
2021-02-25,80-89,629,659
2021-02-25,20-29,15157,18027
2021-02-25,50-59,5194,5509
2021-02-25,0-19,4941,5093
2021-02-26,30-39,6757,10512
2021-02-26,70-79,544,542
2021-02-26,40-49,4329,5496
2021-02-26,60-69,1205,1122
2021-02-26,90+,56,70
2021-02-26,0-19,2404,2535
2021-02-26,80-89,289,245
2021-02-26,50-59,2657,2763
2021-02-26,20-29,7421,8489
2021-02-27,90+,17,35
2021-02-27,70-79,345,270
2021-02-27,30-39,4207,6972
2021-02-27,40-49,2897,3232
2021-02-27,60-69,770,578
2021-02-27,50-59,1776,1644
2021-02-27,80-89,145,125
2021-02-27,20-29,5784,6349
2021-02-27,0-19,2273,1834
2021-02-28,60-69,2186,2127
2021-02-28,50-59,3949,4581
2021-02-28,20-29,11293,16225
2021-02-28,90+,98,175
2021-02-28,30-39,10029,17174
2021-02-28,40-49,6470,8805
2021-02-28,70-79,1128,1154
2021-02-28,0-19,4431,4486
2021-02-28,80-89,554,606
2021-03-01,70-79,1373,1177
2021-03-01,30-39,11289,19234
2021-03-01,40-49,7224,8346
2021-03-01,60-69,2657,2247
2021-03-01,20-29,12948,20292
2021-03-01,50-59,4561,4609
2021-03-01,0-19,4662,4443
2021-03-01,80-89,632,624
2021-03-01,90+,137,147
2021-03-02,50-59,4450,5213
2021-03-02,90+,126,231
2021-03-02,70-79,1467,1226
2021-03-02,60-69,2831,2474
2021-03-02,40-49,6558,9211
2021-03-02,0-19,3904,4296
2021-03-02,80-89,585,651
2021-03-02,20-29,11445,21802
2021-03-02,30-39,9579,19316
2021-03-03,60-69,2896,2711
2021-03-03,50-59,4562,5651
2021-03-03,20-29,11714,22478
2021-03-03,0-19,4397,4523
2021-03-03,80-89,651,630
2021-03-03,90+,135,185
2021-03-03,40-49,6664,9260
2021-03-03,30-39,9515,19554
2021-03-03,70-79,1571,1332
2021-03-04,20-29,10880,26117
2021-03-04,50-59,4402,6812
2021-03-04,0-19,4116,5562
2021-03-04,70-79,1251,1441
2021-03-04,30-39,9128,23069
2021-03-04,80-89,524,644
2021-03-04,60-69,2606,3181
2021-03-04,40-49,6493,11751
2021-03-04,90+,110,146
2021-03-05,0-19,1636,2767
2021-03-05,80-89,208,269
2021-03-05,50-59,2008,3460
2021-03-05,20-29,4707,13351
2021-03-05,30-39,4041,11930
2021-03-05,40-49,2993,6284
2021-03-05,60-69,1053,1521
2021-03-05,70-79,497,634
2021-03-05,90+,41,65
2021-03-06,80-89,75,153
2021-03-06,0-19,1355,1918
2021-03-06,20-29,3229,8187
2021-03-06,60-69,605,964
2021-03-06,50-59,1210,2531
2021-03-06,30-39,2200,7102
2021-03-06,40-49,1736,3998
2021-03-06,90+,19,30
2021-03-06,70-79,254,360
2021-03-07,20-29,8891,22822
2021-03-07,0-19,3537,5921
2021-03-07,80-89,536,688
2021-03-07,60-69,2027,3409
2021-03-07,40-49,4791,11243
2021-03-07,90+,141,139
2021-03-07,30-39,6757,20022
2021-03-07,50-59,3217,6662
2021-03-07,70-79,1104,1643
2021-03-08,90+,109,213
2021-03-08,80-89,428,789
2021-03-08,20-29,8225,22255
