,date,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,day,num_tot,per_10-19,per_20-29,per_30-39,per_40-49,per_50-59,per_60-69,per_70-79,per_80+
92,2021-03-22,3964,11637,8874,5488,3578,2111,1125,630,294,37407,0.10596947092630536,0.31109150685404025,0.23722832618567957,0.1467105086890928,0.09565054666355212,0.05643328787220753,0.030074584962687573,0.016841767579105042
93,2021-03-23,3534,9898,7510,4878,3148,1927,1012,593,295,32500,0.10873846150500355,0.3045538460601373,0.2310769230058225,0.15009230764612544,0.09686153843173491,0.059292307674063904,0.031138461528880473,0.018246153840539646
94,2021-03-24,3334,8528,6377,4254,2794,1649,869,517,296,28322,0.11771767526385224,0.30110867865930774,0.22516065241679237,0.15020125692034417,0.09865122516112873,0.05822328929516867,0.03068286136901248,0.01825436056131122
95,2021-03-25,2471,6464,4988,3326,2155,1234,587,365,297,21590,0.11445113473161134,0.29939786924529976,0.23103288548817374,0.15405280215189773,0.09981472899499086,0.05715609075629639,0.02718851318796271,0.0169059749805901
96,2021-03-26,1457,3788,2747,1900,1176,599,282,139,298,12088,0.12053275966203444,0.3133686297870875,0.22725016526534567,0.15718067491960566,0.09728656510813488,0.04955327593518095,0.023328921224909895,0.011499007270434309
97,2021-03-27,1831,4651,3489,2370,1467,809,408,223,299,15248,0.12008132206185643,0.30502360945368334,0.22881689386882417,0.15543022025483327,0.09620933886659934,0.05305613847517305,0.026757607537540917,0.014624868825665747
98,2021-03-28,2965,7482,5624,3658,2403,1510,782,458,300,24882,0.11916244670076262,0.30069930057845057,0.2260268466256624,0.14701390557551086,0.09657583791633477,0.06068643997239513,0.0314283417605384,0.018406880468448326
99,2021-03-29,2548,6790,4978,3287,2240,1454,743,416,301,22456,0.11346633411406024,0.3023690771720836,0.22167794788845835,0.14637513352940187,0.09975062339697603,0.06474884215142998,0.03308692552855053,0.01852511577372412
100,2021-03-30,2651,6715,4742,3234,2197,1424,782,446,302,22191,0.11946284524380928,0.3026001530789058,0.21369023468356982,0.14573475726838145,0.09900410071695548,0.06417015904458107,0.035239511497796625,0.020098238015367385
101,2021-03-31,2485,6189,4549,3109,2123,1301,648,356,303,20760,0.11970134868993192,0.29812138713963326,0.21912331395995988,0.14975915214366128,0.10226396912222352,0.06266859341875308,0.03121387281733436,0.017148362226807146
102,2021-04-01,1665,4264,3195,2198,1456,876,429,264,304,14347,0.11605213625423284,0.2972049903832125,0.22269463983920357,0.1532027600521344,0.10148463086256038,0.061058060876100884,0.02990172159343297,0.018401059442112597
103,2021-04-02,874,2173,1642,1118,730,382,166,83,305,7168,0.12193080340132421,0.30315290136278894,0.2290736603947075,0.1559709819252637,0.10184151771506485,0.053292410639938045,0.023158482110548995,0.011579241055274497
104,2021-04-03,1381,3541,2392,1705,1137,697,363,217,306,11433,0.12079069350057667,0.3097174842038682,0.20921892748253396,0.1491297121060704,0.09944896343964929,0.060963876444534354,0.03175019677096983,0.018980145177136233
105,2021-04-04,1870,4765,3342,2140,1471,932,502,298,307,15320,0.12206266310570323,0.3110313313896662,0.21814621395682363,0.13968668398192777,0.09601827669972697,0.06083550909867134,0.03276762399949894,0.019451697115240408
106,2021-04-05,1824,4610,3256,2118,1410,906,487,301,308,14912,0.12231759648449732,0.3091469955008403,0.21834763933855442,0.1420332617073275,0.09455472096663445,0.060756437727497024,0.03265826178067445,0.020185085823373736
107,2021-04-06,1174,2657,1791,1206,794,488,265,161,309,8536,0.1375351451059804,0.3112699152867035,0.20981724436525628,0.14128397359268513,0.09301780682636153,0.05716963442224739,0.03104498590552368,0.018861293323733257
